"user_id","activity_start_dt","result_mentioned_by_user"
11,2015-10-01 10:06:00,Отлично
44,2015-12-24 14:17:00,Нейтрально
93,2015-12-20 19:06:00,Отлично
101,2015-10-15 08:38:00,Не удовлетворительно
104,2015-12-02 12:43:00,Не удовлетворительно
160,2015-12-20 20:13:00,Нейтрально
163,2015-12-28 11:35:00,Хорошо
316,2015-09-17 13:13:00,Отлично
344,2015-11-12 12:15:00,Хорошо
382,2015-10-08 12:20:00,Отлично
386,2015-11-01 21:42:00,Отлично
419,2015-12-29 12:53:00,Не удовлетворительно
421,2015-11-01 19:44:00,Отлично
424,2015-12-26 10:44:00,Отлично
456,2015-12-23 16:19:00,Не удовлетворительно
479,2015-11-18 15:27:00,Отлично
513,2015-10-19 09:44:00,Нейтрально
644,2015-11-03 18:40:00,Отлично
645,2015-09-07 22:18:00,Отлично
710,2015-10-06 12:47:00,Отлично
751,2015-10-30 02:25:00,Удовлетворительно
826,2015-12-27 12:10:00,Удовлетворительно
902,2015-09-06 11:12:00,Не удовлетворительно
1 069,2015-11-03 10:18:00,Отлично
1 079,2015-12-21 23:44:00,Хорошо
1 118,2015-09-21 16:56:00,Отлично
1 141,2015-12-19 20:59:00,Хорошо
1 151,2015-11-09 21:36:00,Отлично
1 200,2015-12-24 16:09:00,Нейтрально
1 252,2015-10-25 22:59:00,Не удовлетворительно
1 272,2015-09-16 12:38:00,Отлично
1 289,2015-09-10 13:45:00,Отлично
1 300,2015-12-26 16:19:00,Отлично
1 415,2015-09-01 17:42:00,Отлично
1 540,2015-09-03 22:35:00,Отлично
1 545,2015-09-27 15:08:00,Отлично
1 674,2015-10-16 19:59:00,Не удовлетворительно
1 705,2015-10-24 11:23:00,Удовлетворительно
1 730,2015-12-29 16:43:00,Отлично
1 755,2015-10-09 20:33:00,Не удовлетворительно
1 763,2015-11-12 22:34:00,Отлично
1 775,2015-11-21 20:37:00,Хорошо
1 871,2015-12-18 23:09:00,Отлично
1 876,2015-10-14 10:46:00,Отлично
1 902,2015-12-18 08:05:00,Отлично
1 979,2015-09-15 18:25:00,Нейтрально
2 040,2015-10-15 08:30:00,Хорошо
2 099,2015-12-11 14:12:00,Отлично
2 173,2015-09-02 18:26:00,Отлично
2 314,2015-10-30 00:47:00,Нейтрально
2 346,2015-09-21 11:25:00,Хорошо
2 390,2015-10-03 10:24:00,Отлично
2 515,2015-12-30 13:01:00,Отлично
2 543,2015-11-03 18:28:00,Отлично
2 553,2015-09-21 14:52:00,Отлично
2 723,2015-11-10 20:22:00,Хорошо
2 764,2015-12-01 11:39:00,Не удовлетворительно
2 804,2015-12-10 17:46:00,Хорошо
2 914,2015-11-02 16:51:00,Удовлетворительно
2 923,2015-12-21 13:34:00,Хорошо
2 982,2015-11-09 13:30:00,Отлично
3 191,2015-10-27 18:50:00,Удовлетворительно
3 332,2015-11-13 11:59:00,Не удовлетворительно
3 384,2015-09-14 17:33:00,Отлично
3 411,2015-11-09 08:09:00,Хорошо
3 504,2015-09-14 21:51:00,Хорошо
3 520,2015-09-06 16:19:00,Отлично
3 704,2015-10-14 14:09:00,Не удовлетворительно
3 716,2015-11-24 08:53:00,Отлично
3 718,2015-12-19 13:22:00,Хорошо
3 836,2015-11-09 15:57:00,Отлично
4 031,2015-12-07 13:35:00,Отлично
4 125,2015-12-20 23:51:00,Хорошо
4 212,2015-10-07 11:32:00,Отлично
4 219,2015-12-16 19:27:00,Отлично
4 258,2015-09-16 05:29:00,Нейтрально
4 436,2015-11-28 03:15:00,Отлично
4 494,2015-11-12 19:53:00,Нейтрально
4 697,2015-11-09 11:18:00,Отлично
